,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
,26,2006-01-01T00:00:00,2007-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output026,28.336,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart026,5.706,Ryan Holmes,2023-07-20T14:22:34,90801889,0,[],normal,7792.53,2.136111111111111,7797.867349315068,2.137574200913242,0.009444444444444589,87166.5706887623,11.178257693293364,1576.9599999999627,1824,1455,361,0.278,2103.877585,3420.16,515.03,"[48, 40]",roundrobin,30,27,1200,80,1,8b7297252a492112adac8989700501016f7c0bff,2023-07-20 12:32:45 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 12:16:44: Run 26', 'update run summary']",1200,58032,True,continue
,27,2007-01-01T00:00:00,2008-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output027,28.355,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart027,5.708,Ryan Holmes,2023-07-20T16:32:50,90809232,0,[],normal,7901.97,2.1661111111111113,7907.382308219178,2.1675947488584475,0.004999999999999893,87350.33367451381,11.046681476842112,1587.2000000001863,1824,1455,361,0.284,2174.039855,3438.36,505.4,"[48, 40]",roundrobin,30,27,1200,80,1,ebd561567c34613ea1b8c09fe132d92f773973af,2023-07-20 14:40:42 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 14:25:43: Run 27', 'update run summary']",1200,60264,True,continue
,28,2008-01-01T00:00:00,2009-01-01T00:00:00,"[1, 0, 0, 0]",366.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output028,28.462,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart028,5.708,Ryan Holmes,2023-07-20T18:42:49,90814952,0,[],normal,7834.08,2.1475,7818.026557377049,2.1430993852459017,0.018888888888888733,86788.62828567767,11.101091515707932,1576.9599999999627,1824,1455,361,0.282,2156.979258,3439.54,509.48,"[48, 40]",roundrobin,30,27,1200,80,1,0f6d1d0fe51946fb2294b14e17c72d5f56638a82,2023-07-20 16:55:19 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 16:35:42: Run 28', 'update run summary']",1200,62496,True,continue
,29,2009-01-01T00:00:00,2010-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output029,28.402,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart029,5.708,Ryan Holmes,2023-07-20T20:52:06,90833687,0,[],normal,7803.68,2.1391666666666667,7809.0249863013705,2.1406318493150684,0.015555555555555767,86919.93708908082,11.130702903570704,1566.7199999997392,1824,1455,361,0.282,2142.274431,3413.49,503.65,"[48, 40]",roundrobin,30,27,1200,80,1,03bb3c05bb4b3fe679efe8cacf1355e68ed99942,2023-07-20 19:07:40 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 18:45:43: Run 29', 'update run summary']",1200,64728,True,continue
,30,2010-01-01T00:00:00,2011-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output030,28.359,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart030,5.711,Ryan Holmes,2023-07-20T23:01:30,90842252,0,[],normal,7784.43,2.133888888888889,7789.761801369863,2.1353504566210044,0.022777777777777786,86627.35085007729,11.120667493946154,1576.9599999999627,1824,1455,361,0.28,2130.043936,3423.19,508.65,"[48, 40]",roundrobin,30,27,1200,80,1,c9328d48b0fad235d27f78c2d373c0457d20ad0a,2023-07-20 21:33:42 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 20:55:25: Run 30', 'update run summary']",1200,66960,True,continue
,31,2011-01-01T00:00:00,2012-01-01T00:00:00,"[1, 0, 0, 0]",365.0,/home/561/rmh561/access-om2/025deg_era5_iaf,/g/data/ik11/outputs/access-om2-025/025deg_era5_iaf/output031,28.375,/scratch/e14/rmh561/access-om2/archive/025deg_era5_iaf/restart031,5.721,Ryan Holmes,2023-07-21T01:10:59,90848070,0,[],normal,7831.04,2.1466666666666665,7836.403726027397,2.1481369863013695,0.011388888888888893,87089.95443429014,11.113510416140809,1566.7199999997392,1824,1455,361,0.283,2157.851281,3429.15,510.19,"[48, 40]",roundrobin,30,27,1200,80,1,e75378388a124c291962fd0c49501c438a15d90c,2023-07-20 23:24:24 +1000,"manifests/restart.yaml, run_summary_home_561_rmh561_access-om2_025deg_era5_iaf.csv","['2023-07-20 23:04:21: Run 31', 'update run summary']",1200,69192,True,continue
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Run,Run start,Run end,"Run length (y, m, d, s)",Run length (days),Control directory,Output directory,Output GiB,Restart directory,Restart GiB,Run by,Run completion date,Job Id,Failed jobs,Failed jobids,Queue,Service Units,Walltime Used (hr),SU per model year,Walltime (hr) per model year,Wait (hr) between runs,SU per calendar day,Model years per calendar day,Memory Used (Gb),NCPUs Used,MOM NCPUs,CICE NCPUs,Fraction of MOM runtime in oasis_recv,Max MOM wait for oasis_recv (s),Max CICE wait for coupler (s),Max CICE I/O time (s),MOM tile layout,CICE tile distribution,CICE block_size_x,CICE block_size_y,Timestep (s),MOM barotropic split,CICE dynamic split (ndtd),Git hash of run,Commit date,Git-tracked file changes,Git log messages,accessom2.nml -> accessom2_nml -> ice_ocean_timestep,ice/cice_in.nml -> setup_nml -> istep0,ice/cice_in.nml -> setup_nml -> restart,ice/cice_in.nml -> setup_nml -> runtype
Total,496,,,,11688.0,,,907.8750000000001,,182.34699999999998,,,2900168084,7,,,258899.54999999996,70.97027777777778,258902.46301246347,70.97107629531898,87.60972222222222,2339172.0835952167,294.19523821403635,50350.07999999821,58368,46560,11552,8.935999999999998,69707.76631499999,113409.11,17615.170000000002,,,960,864,37800,2560,32,,,,,37800,1107072,31,
Mean,15.5,,,0.25,365.25,,,28.37109375,,5.69834375,,,90630252.625,0.21875,"[2828099.53125 2830633.375   2831644.84375 2832923.9375  2833613.53125
 2835088.625   2836251.65625]",,8090.610937500001,2.2178211805555557,8090.701969139485,2.2178461342287195,2.8261200716845876,75457.16398694248,9.49016897464633,1573.4399999999441,1824.0,1455.0,361.0,0.27925,2178.3676973437496,3544.0346875,550.4740625,44.0,,30.0,27.0,1181.25,80.0,1.0,,,,,1181.25,34596.0,0.96875,
